.rownames	city	confirmed	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
52	Gijang-gun	1	21	35	0	1.31	15.45	7.4	229	2. Low	0.07331513932422803	1.0979084024380736	0.061486422587954725	0.5903168371205924	0.49863765838899204	0.0746840838852559	-0.03098591390860076
53	Gimcheon-si	24	27	37	2	0.89	22.35	12.2	212	4. High	0.4660902829403091	-0.4360184530086598	0.5928720477651046	0.08086324443653824	0.10611611165565399	-0.020271598127604734	-0.08913357278111783
54	Gimhae-si	10	58	91	4	2.1	10.74	5.3	711	3. Moderate	-3.3238626101988147	-0.3434661586809304	0.14554450779417027	-0.42873945920965273	0.6631875072807727	-0.05623203755360988	-0.11740263068125913
55	Gimje-si	1	36	40	0	1.11	30.89	17.9	188	2. Low	1.2961415533326532	-1.1236994120645107	-0.8809873528121452	0.15033240607124126	0.6031612635209564	-0.2569178774176912	0.010041728908532943
56	Gimpo-si	13	43	90	2	1.74	12.1	4.4	604	3. Moderate	-2.3383085425503176	0.20648537242668746	-0.009000333678584299	0.42671730987127077	0.6627834601335884	0.3777786540719574	0.18550349004947483
57	Goesan-gun	11	14	15	1	0.36	33.01	16.5	64	3. Moderate	2.406331910257577	-0.9062087740385747	0.42718097002143224	0.19211198645541447	-0.3066865754104773	-0.032564160649838345	0.24905849767879643
58	Goryeong-gun	9	9	9	0	0.62	30.17	15.9	62	3. Moderate	2.4428945847286	-0.18935797969828097	0.03572669487385044	0.2420680005787834	-0.14549421653793282	0.03730759918527316	0.11140638689026683
59	Goseong-gun	2	13	11	1	0.48	28.53	14.6	41	2. Low	2.086327986244784	-0.36688425985035644	0.605138424968434	0.20818159499372782	-0.2022400109326945	-0.07174553762987682	0.08460290308068288
60	Goseong-gun	2	19	18	0	1.3	30.17	18.2	89	2. Low	1.881177505432853	-0.3452337088608398	-0.7867744477057622	-0.4144852895085917	0.39659064647910625	-0.06182722381106895	-0.08333904163762229
61	Goyang-si	25	84	171	2	1.88	12.82	5.2	1608	4. High	-5.052616416260623	-1.8412614275286932	-1.622892751314572	1.568369627203539	0.32084198539329156	0.5613230337061772	0.243486504272196
