date	test	negative	confirmed	deceased	age	confirmed_time_age	deceased_time_age	sex	confirmed_time_gender	deceased_time_gender	coronavirus
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-26	51	47	3	0	NA	NA	NA	NA	NA	NA	39.62772
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
