.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
35	Dongdaemun-gu	30	10110	Seoul	37.574552	127.039721	21	31	4	1.06	17.26	6.7	832	4. High	-0.9678546828768329	0.1358203884905227	1.018450593682667	-0.29418231928282756	-1.3328060159405446	0.0270191841964674	-0.011195049251648197
36	Dongducheon-si	4	20100	Gyeonggi-do	37.903568	127.060347	11	19	1	1.03	19.56	9.7	140	2. Low	0.8788093936844084	0.7718943814519013	0.5709650402455699	0.11679270086963969	0.0277811245340115	0.14186548759658332	-0.014420050054209998
37	Dongjak-gu	28	10120	Seoul	37.510571	126.963604	21	34	3	1.17	15.85	5.2	762	4. High	-0.9892442351983974	0.5586650310293511	0.7753981522224864	0.011885232919468958	-0.9782208304399943	0.041510870848954086	0.09829399236447811
38	Dongnae-gu	33	11060	Busan	35.20506	129.083673	22	31	0	1.98	17.53	7.7	608	4. High	-0.4946085653756479	1.2926204197572595	-0.965846746967657	-0.08936038141444023	0.06854643450473154	-0.04287066107837489	0.09286107728851156
39	Eumseong-gun	6	40060	Chungcheongbuk-do	36.940237	127.690502	21	24	2	0.88	20.33	9.2	169	2. Low	0.49143726619577244	0.2097192908405846	0.9383237818264556	0.09856623802712096	-0.02905078208944732	-0.1323517128831602	0.04765478141381397
40	Eunpyeong-gu	26	10220	Seoul	37.603481	126.929173	31	44	1	1.09	17	6.5	874	4. High	-0.870469100826012	0.35109823618549363	-0.1243438611070048	0.8845373505246767	-0.7035170514316248	-0.12491875180144793	0.049960228472562165
41	Gangbuk-gu	5	10030	Seoul	37.639938	127.025508	14	21	0	0.67	19.49	8.5	628	2. Low	0.6460168220020027	0.6967857721989579	0.1170043444569528	1.0988547820185466	-0.8457998418479139	0.030897533973554908	-1.6167194912598408e-4
42	Gangdong-gu	13	10020	Seoul	37.530492	127.123837	27	32	0	1.54	14.55	5.4	1023	3. Moderate	-1.0403938661263492	1.213958609862104	-0.8034570973268772	0.7580146942895275	-0.7777346996152579	-0.22625925557293083	-0.04224112633650034
43	Gangnam-gu	53	10010	Seoul	37.518421	127.047222	33	38	0	4.18	13.17	4.3	3088	4. High	-4.710612793189625	2.3145224373187676	-5.052941349269477	-1.207673953984756	-3.1510541987914547	-0.24415924298932093	-0.09649816697055787
44	Gangneung-si	7	30010	Gangwon-do	37.75197	128.875928	34	36	4	1.9	20.46	9.6	347	3. Moderate	-0.9751413355998324	-0.10540748971622778	0.41674328412213074	-1.404059920076647	0.19494544107408648	-0.30307592817017603	0.06862724292743975
