.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
217	Wando-gun	0	51160	Jeollanam-do	34.310983	126.755076	21	24	0	0.65	31.55	17.9	96	1. None	2.168167611742331	-0.8679244573070214	-0.28432166582322654	0.3326001305684433	0.14008174539423093	-0.051132063434129654	0.018310498178233787
218	Jangseong-gun	0	51170	Jeollanam-do	35.301826	126.784893	13	16	0	0.83	28.75	16.8	80	1. None	2.1361136789382473	-0.24590419336479	-0.20973171977892024	0.11054501914399176	0.08247510305678214	0.08540924281617616	-0.07432769700290802
219	Jangheung-gun	0	51180	Jeollanam-do	34.681616	126.90708	15	16	0	0.67	33.21	21.6	80	1. None	2.7195538794020018	-1.0208444221122799	-0.48383301398966405	-0.009617213296627129	7.242976976953975e-4	0.10211938451293733	-0.2763925075970772
220	Jindo-gun	0	51190	Jeollanam-do	34.486834	126.263554	10	13	0	0.78	32.97	22	68	1. None	2.8244826699623276	-0.8279978936904826	-0.544556980740021	-0.21554657919298117	-0.03129472002497178	0.24055145518644427	-0.3188285226247783
221	Hampyeong-gun	0	51200	Jeollanam-do	35.065927	126.516688	11	12	0	0.49	35.45	22	76	1. None	3.0880467781895833	-1.135909059910002	-0.38203236367981797	0.04095311554607855	-0.2156452245767757	0.1450387144913401	-0.15218119223535334
222	Haenam-gun	0	51210	Jeollanam-do	34.573374	126.59925	20	21	0	0.91	31.45	20	135	1. None	2.18140677390508	-0.8420352367058225	-0.64541160050043	-0.05241868332892534	0.16252487733871648	-9.142318418348442e-4	-0.22247692316489154
223	Ulleung-gun	0	60170	Gyeongsangbuk-do	37.484438	130.905883	4	6	0	0.21	24.81	10.7	11	1. None	2.249417262299196	0.46630475723592285	0.9285142613020366	0.9491543890043096	-0.30798314381270087	0.06175974517765669	0.2252048355078644
224	Uljin-gun	0	60180	Gyeongsangbuk-do	36.993078	129.400585	13	16	0	1.01	27.3	17.6	83	1. None	2.017757281603717	-0.13452463077633872	-0.3668731800640869	-0.07984762275067486	0.19088353958575183	0.134840896079878	-0.27107914357933816
225	Uiryeong-gun	0	61100	Gyeongsangnam-do	35.322198	128.26174	13	10	0	0.63	35.95	24.2	60	1. None	3.178840180828332	-1.2901204341955759	-0.6299656794506094	-0.21491274897225396	-0.09760445746451034	0.09799463932689798	-0.36753803254219214
226	Tongyeong-si	0	61140	Gyeongsangnam-do	34.854426	128.43321	20	29	0	1.7	18.47	9.8	230	1. None	0.25457416615758277	1.039468368783759	-0.48134308797474634	-0.061824999256563686	0.5774052740272196	0.028969842153631544	-0.03498637399795121
227	Hadong-gun	0	61150	Gyeongsangnam-do	35.067224	127.751271	16	15	0	0.84	32.89	19.1	94	1. None	2.4205596568817676	-0.7175402528822836	-0.5019114750769593	-0.07352016756610662	0.05237839818383705	-0.028585407174426432	-0.009043992331854133
228	unknown_Jeju-do	0	70000	Jeju-do	33.488936	126.500423	113	123	4	1.53	15.1	6.4	1245	1. None	-4.733244372029198	-2.710644552072091	-0.48404770485874665	1.0009226680155143	0.5790435772602851	-1.4251653356603202	-0.14350117034223292
